ncols         22
nrows         62
xllcorner     0.00000000
yllcorner     0.00000000
cellsize      0.5
nodata_value  -9999	
50.00	50.00	38.50	50.00	0.00	36.00	1.00	15.50	18.50	50.00	39.50	39.50	12.00	4.50	8.00	0.00	25.50	0.00	45.00	50.00	0.00	0.00
0.00	0.00	50.00	14.00	38.00	43.50	0.00	29.00	38.00	0.00	40.50	11.50	24.50	17.00	12.00	0.00	26.00	0.00	23.50	10.00	0.00	0.00
0.00	0.00	41.00	0.00	0.00	0.00	0.00	28.00	0.00	0.00	0.00	0.00	4.00	12.00	50.00	0.00	0.00	15.00	14.00	41.00	10.50	10.50
46.00	46.00	41.00	0.00	47.50	17.00	49.00	29.00	12.00	24.50	0.00	0.00	38.00	12.00	50.00	0.50	0.00	33.50	0.00	20.00	40.00	40.00
28.50	28.50	50.00	0.00	47.00	21.00	39.00	4.50	0.00	7.00	11.00	42.00	50.00	50.00	33.00	38.50	44.50	36.50	0.00	32.50	0.00	0.00
0.00	0.00	31.00	50.00	0.00	42.00	49.50	0.00	13.50	34.00	42.00	0.00	0.00	45.50	35.50	49.00	42.50	0.00	34.50	50.00	20.50	20.50
14.00	14.00	50.00	5.50	0.50	26.00	1.00	0.00	7.50	6.00	7.00	9.50	0.00	6.00	46.50	49.00	45.50	3.00	41.00	43.00	2.50	2.50
50.00	50.00	50.00	0.00	16.00	33.00	18.00	50.00	0.00	0.00	25.50	0.00	0.00	0.00	50.00	0.00	50.00	0.00	10.50	50.00	50.00	50.00
50.00	50.00	50.00	27.00	39.50	43.00	7.00	32.00	50.00	43.00	43.00	0.00	47.50	6.00	4.00	43.00	27.50	49.50	50.00	6.00	7.00	7.00
41.50	41.50	3.50	43.00	46.00	0.00	0.00	31.00	0.00	12.50	0.00	19.00	0.00	22.50	50.00	31.00	41.00	19.00	30.50	19.00	13.50	13.50
14.00	14.00	13.00	48.00	0.00	0.00	1.00	25.50	50.00	44.50	39.00	5.50	14.50	39.00	19.00	0.00	50.00	46.50	31.00	42.00	1.50	1.50
14.00	14.00	45.00	42.50	48.00	50.00	29.50	25.50	20.50	0.00	50.00	0.00	0.00	44.00	8.50	1.00	0.00	0.00	0.00	0.00	35.00	35.00
50.00	50.00	8.00	17.50	50.00	3.50	1.00	21.00	0.00	0.00	11.00	47.00	0.00	46.00	1.50	45.00	48.00	0.00	0.00	41.00	12.50	12.50
44.00	44.00	41.00	50.00	20.50	11.50	28.00	28.00	50.00	50.00	45.00	17.00	43.00	47.00	12.50	0.00	13.50	0.00	39.50	0.00	0.00	0.00
14.00	14.00	48.50	2.00	50.00	50.00	48.00	1.00	50.00	2.00	0.00	1.50	0.00	2.00	49.00	49.00	1.00	0.00	2.00	39.50	35.50	35.50
50.00	50.00	0.00	31.00	0.00	24.00	0.50	29.00	46.50	0.00	18.50	0.00	16.00	3.00	11.00	50.00	14.00	48.00	25.50	30.50	7.00	7.00
0.50	0.50	0.00	31.00	0.00	24.00	1.50	49.50	44.00	33.50	0.00	0.00	50.00	6.00	0.00	1.50	50.00	4.00	0.00	41.50	36.00	36.00
0.00	0.00	4.50	24.50	26.50	11.50	26.00	50.00	28.00	50.00	5.50	0.00	24.50	0.00	14.50	0.00	0.00	50.00	50.00	25.50	0.00	0.00
13.50	13.50	1.00	0.50	0.00	26.00	50.00	20.50	44.00	34.00	50.00	49.50	50.00	0.00	49.00	49.00	0.50	0.00	31.00	49.00	49.00	49.00
0.00	0.00	0.00	17.00	23.00	12.00	23.00	29.00	26.50	31.50	29.00	6.00	23.00	0.00	40.50	0.00	24.00	25.00	23.00	26.50	0.00	0.00
50.00	50.00	0.00	29.50	0.00	3.00	3.00	21.50	3.00	18.00	0.00	39.50	47.00	47.00	0.00	46.00	0.00	46.00	0.00	39.50	0.00	0.00
34.50	34.50	27.50	29.00	3.50	50.00	0.50	41.00	47.50	34.00	29.00	27.50	19.50	0.00	0.00	49.50	13.50	2.00	18.00	17.50	21.00	21.00
1.50	1.50	0.00	0.00	0.00	0.00	4.50	30.50	0.00	16.00	10.00	10.00	0.00	50.00	0.00	0.00	21.50	45.50	17.00	11.50	50.00	50.00
44.50	44.50	30.50	11.50	0.00	14.50	1.00	0.00	33.00	50.00	28.00	26.50	37.00	33.00	0.00	0.50	30.50	30.50	11.50	25.00	0.00	0.00
50.00	50.00	50.00	50.00	3.50	44.00	50.00	25.00	11.50	0.00	0.00	0.00	0.00	0.00	50.00	1.00	23.00	0.00	27.50	13.00	50.00	50.00
0.00	0.00	44.50	23.00	16.50	8.50	0.00	0.00	22.00	10.50	7.00	14.00	16.00	0.00	18.50	0.00	15.00	2.50	43.50	41.00	18.00	18.00
38.50	38.50	34.50	23.50	50.00	0.00	9.00	18.00	0.00	0.00	8.00	50.00	0.00	37.00	27.50	41.00	4.00	47.00	0.00	48.50	0.00	0.00
40.50	40.50	19.50	50.00	50.00	0.00	16.50	29.00	44.00	0.00	39.00	3.50	16.00	50.00	40.50	34.00	50.00	49.00	34.00	0.00	24.50	24.50
29.50	29.50	0.00	3.50	0.50	40.50	1.00	46.00	41.50	0.00	48.00	42.50	9.50	0.00	21.00	1.00	50.00	50.00	24.50	43.00	0.00	0.00
50.00	50.00	0.00	50.00	1.00	50.00	50.00	14.50	45.50	38.50	11.00	11.50	50.00	0.00	50.00	50.00	17.00	35.50	50.00	21.00	39.50	39.50
3.00	3.00	39.00	21.50	3.00	24.00	11.00	33.50	0.00	26.00	2.50	11.00	0.00	45.00	21.00	11.00	44.50	39.50	46.00	50.00	13.50	13.50
36.00	36.00	13.00	50.00	37.00	6.00	12.50	0.00	32.50	0.00	13.00	10.00	13.00	1.50	0.00	13.00	13.00	0.00	0.00	13.00	0.00	0.00
36.00	36.00	13.00	50.00	37.00	6.00	12.50	0.00	32.50	0.00	13.00	10.00	13.00	1.50	0.00	13.00	13.00	0.00	0.00	13.00	0.00	0.00
